locus_tag,gene_name,product,timepoint,log2fc,padj,expression_status,experiment_id
ACZ81_05205,fliM,flagellar motor switch protein FliM,day 60,-0.703801787770614,0.0987826117654421,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04985,flgA,flagellar basal body P-ring formation chaperone FlgA,day 60,-0.701153676014823,0.4043982137506043,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01430,cheW,chemotaxis protein CheW,day 18,-0.7009212175175814,0.2784746485635225,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_07105,,methyl-accepting chemotaxis protein,day 18,-0.6987048970551801,0.2800727234506657,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04995,cheR,CheR family methyltransferase,day 31,-0.6940498003893467,1.3266643138192922e-06,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_13410,,methyl-accepting chemotaxis protein,day 60,0.6885100533573122,0.2724498622529529,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05265,fliA,RNA polymerase sigma factor FliA,day 18,-0.6866818284790566,0.1345131160346948,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05190,fliJ,flagellar export protein FliJ,day 18,0.6866168005360879,0.1743827607221595,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01495,cheB,protein-glutamate methylesterase/protein-glutamine glutaminase,day 18,-0.6822061876514808,0.199385544835636,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01450,cheB,protein-glutamate methylesterase/protein-glutamine glutaminase,day 18,-0.6794129360982182,0.2576487388973925,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04995,cheR,CheR family methyltransferase,day 18,-0.6723878790992311,6.511488878375739e-06,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05250,flhA,flagellar biosynthesis protein FlhA,days 60+89,-0.6706361547350222,0.2711933086496357,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_16170,,chemotaxis protein CheX,day 89,-0.6586583130531473,0.3988876977489824,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_16000,bdlA,methyl-accepting chemotaxis protein,day 18,-0.654910792165791,0.0552246443102035,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05220,fliP,flagellar type III secretion system pore protein FliP,day 31,0.6543043645103248,0.174854261102165,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05295,VP2226,chemotaxis protein CheW,day 89,-0.6528112872680104,0.2570802018070338,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01440,cheR,CheR family methyltransferase,day 18,-0.6415997141142016,0.4262911907908319,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05180,fliH,flagellar assembly protein FliH,day 18,0.6401108248834041,0.2570103328225952,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01455,,methyl-accepting chemotaxis protein,day 18,-0.6264962160861977,0.5514503832793083,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05220,fliP,flagellar type III secretion system pore protein FliP,day 18,0.6163608047640047,0.2374751240954372,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05285,cheB,protein-glutamate methylesterase/protein-glutamine glutaminase,day 18,-0.6076437515080051,0.2294990047105143,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_03740,rpoN,RNA polymerase factor sigma-54,day 18,-0.603723309610574,0.0435327756928873,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05200,fliL,flagellar basal body-associated protein FliL,days 60+89,-0.6000495209367802,0.2403395206814338,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05145,,flagellin,day 18,-0.5992404617844526,0.3644809411482447,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04985,flgA,flagellar basal body P-ring formation chaperone FlgA,day 31,0.5921555847099768,0.4857452967902539,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_RS21455,bdlA,hypothetical protein,day 89,-0.5882655059381177,0.4633269082781532,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05045,flgK,flagellar hook-associated protein FlgK,day 31,-0.5666679815423568,0.1691431600005127,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_RS21445,bdlA,methyl-accepting chemotaxis protein,day 18,0.5622654983252507,0.5255481843513556,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05300,cheW,chemotaxis protein CheW,day 60,-0.5613864333332308,0.1499044250549779,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05225,fliQ,flagellar biosynthesis protein FliQ,days 60+89,0.5613008285062102,0.255670435777551,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01420,cheY1,response regulator,day 31,-0.5525238514202797,0.2932118820471302,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05160,fleR,sigma-54-dependent transcriptional regulator,day 31,-0.5451085409805754,0.3893988905102605,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05265,fliA,RNA polymerase sigma factor FliA,day 89,-0.5439153540423696,0.225334997866063,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01420,cheY1,response regulator,days 60+89,-0.5349983232270978,0.230140276992234,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05190,fliJ,flagellar export protein FliJ,day 31,0.5325423188963642,0.2854100744202411,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05300,cheW,chemotaxis protein CheW,days 60+89,-0.5301930066787747,0.0937772141543821,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
